name,rating,lat,lng,formatted_address
Victoria Gardens Shopping Centre,4.1,-37.8132375,145.0116083,"620 Victoria St, Richmond VIC 3121, Australia"
Cranbourne Park Shopping Centre,4.2,-38.1089868,145.2821866,"125 High St, Cranbourne VIC 3977, Australia"
Botanic Ridge Village,4.7,-38.1493443,145.2900987,"10 Hummingbird Dr, Botanic Ridge VIC 3977, Australia"
Shopping on Clyde,4.1,-38.1186575,145.3204021,"280 Berwick-Cranbourne Rd, Clyde VIC 3978, Australia"
Selandra Rise Shopping Centre,4.2,-38.1035577,145.325312,"Shop 11/2 Selandra Blvd, Clyde North VIC 3978, Australia"
The Hive Shopping Centre,3.7,-37.8093711,144.9956606,"313 Victoria St, Abbotsford VIC 3067, Australia"
Westfield Fountain Gate,4.3,-38.0175702,145.3042624,"25-55 Overland Dr, Narre Warren VIC 3805, Australia"
The Avenue Village Shopping Centre,4.2,-38.0859226,145.3169538,"Cnr William Thwaites Boulevard & Thompsons Road, Cranbourne North VIC 3977, Australia"
Chadstone - The Fashion Capital,4.5,-37.88784649999999,145.082586,"1341 Dandenong Rd, Chadstone VIC 3148, Australia"
M-City Shopping Centre,4.4,-37.920929,145.1403919,"2107/2125 Princes Hwy, Clayton VIC 3168, Australia"
Thompson Parkway Shopping Centre,4,-38.081701,145.2775931,"Corner Thompsons Road and, S Gippsland Hwy, Cranbourne North VIC 3977, Australia"
Mountain High Shopping Centre,3.8,-37.841999,145.2660241,"7-13 High St, Bayswater VIC 3153, Australia"
Carrum Downs Regional Shopping Centre,3.7,-38.1021724,145.1842899,"100 Hall Rd, Carrum Downs VIC 3201, Australia"
Highpoint Shopping Centre,4.3,-37.77399279999999,144.8891205,"120-200 Rosamond Rd, Maribyrnong VIC 3032, Australia"
Karingal Hub,4.1,-38.1531656,145.1655844,"330 Cranbourne Rd, Frankston VIC 3199, Australia"
The Glen Shopping Centre,4.2,-37.87589699999999,145.164989,"235 Springvale Rd, Glen Waverley VIC 3150, Australia"
Bourke Street Mall,4.3,-37.8137685,144.9644379,"Bourke St, Melbourne VIC 3000, Australia"
McCrae Plaza,3.9,-38.3514457,144.9219631,"739 Point Nepean Rd, McCrae VIC 3938, Australia"
Mornington Village Shopping Centre,4,-38.2237368,145.040799,"241 Main St, Mornington VIC 3931, Australia"
Clarinda Village,0,-38.1156065,145.241007,"85 Everlasting Blvd, Cranbourne West VIC 3977, Australia"
Hampton Park Shopping Centre,3.6,-38.0326996,145.2660587,"55 Hallam Rd, Hampton Park VIC 3976, Australia"
Northland Shopping Centre,4.2,-37.7389461,145.0299969,"2-50 Murray Rd, Preston VIC 3072, Australia"
Hunt Club Village Shopping Centre,4.2,-38.0997527,145.2932409,"1 Linsell Blvd, Cranbourne East VIC 3977, Australia"
Westfield Knox,4.1,-37.8687349,145.2407676,"425 Burwood Hwy, Wantirna South VIC 3152, Australia"
Central Square Shopping Centre,4,-37.8730556,144.7761111,"1-23 Central Ave, Altona Meadows VIC 3028, Australia"
Bayside Centre,3.9,-38.1411014,145.1245331,"28 Beach St, Frankston VIC 3199, Australia"
The Block Arcade,4.5,-37.815795,144.9646665,"282 Collins St, Melbourne VIC 3000, Australia"
Victoria Street Mall,3.9,-37.7431872,144.9655128,"Victoria St, Coburg VIC 3058, Australia"
Emporium Melbourne,4.4,-37.8124234,144.9638295,"287 Lonsdale St, Melbourne VIC 3000, Australia"
Brimbank Shopping Centre,4.1,-37.7511412,144.7755019,"Station Rd, Deer Park VIC 3023, Australia"
Broadmeadows Central,3.9,-37.680215,144.919454,"1099-1169 Pascoe Vale Rd, Broadmeadows VIC 3047, Australia"
The District Docklands,4.1,-37.8125536,144.9369982,"440 Docklands Dr, Docklands VIC 3008, Australia"
Burwood Brickworks Shopping Centre,4.5,-37.848911,145.1331374,"70 Middleborough Rd, Burwood East VIC 3151, Australia"
Sunshine Marketplace,4,-37.78204910000001,144.8315219,"80 Harvester Rd, Sunshine VIC 3020, Australia"
Eastland Shopping Centre,4.3,-37.81265920000001,145.2292803,"175 Maroondah Hwy, Ringwood VIC 3134, Australia"
Yarra Glen Shopping Centre,4.4,-37.6575302,145.3752156,"38-40 Bell St, Yarra Glen VIC 3775, Australia"
Pakenham Place Shopping Centre,4,-38.0781319,145.4787156,"67/79 Main St, Pakenham VIC 3810, Australia"
Camberwell Shopping Precinct,4.1,-37.8291302,145.0566936,"793 Burke Rd, Camberwell VIC 3124, Australia"
Keilor Central,4.1,-37.7270546,144.8071977,"80 Taylors Rd, Keilor Downs VIC 3038, Australia"
Meadow Heights Shopping Centre,3.7,-37.6508005,144.922269,"55 Paringa Blvd, Meadow Heights VIC 3048, Australia"
Chirnside Park Shopping Centre,4.2,-37.756851,145.3126568,"239 Maroondah Hwy, Chirnside Park VIC 3116, Australia"
Greenvale Shopping Centre,3.8,-37.6393003,144.8820385,"1 Greenvale Dr, Greenvale VIC 3059, Australia"
Westfield Southland,4.2,-37.9584584,145.0510807,"1239 Nepean Hwy, Cheltenham VIC 3192, Australia"
Cowes Shopping Centre,4.8,-38.4532417,145.2389574,"Thompson Ave, Cowes VIC 3922, Australia"
Lygon Court,4.1,-37.7980196,144.9682612,"333 Drummond St, Carlton VIC 3053, Australia"
Tooronga Village,4.1,-37.8455962,145.0455815,"766 Toorak Rd, Glen Iris VIC 3146, Australia"
Derrimut Village Shopping Centre,4.1,-37.78345789999999,144.7718548,"20 Mt Derrimut Rd, Derrimut VIC 3026, Australia"
Craigieburn Central,4.1,-37.5926325,144.9133132,"340 Craigieburn Rd, Craigieburn VIC 3064, Australia"
Central Walk Shopping Centre,3.3,-37.6840508,144.5783817,"415 High St, Melton VIC 3337, Australia"
Gladstone Park Shopping Centre,3.6,-37.6881429,144.8846293,"8/34 Gladstone Park Dr, Gladstone Park VIC 3043, Australia"
Drouin Central,4.7,-38.1355576,145.8578124,"72-100 Young St, Drouin VIC 3818, Australia"
"Warringal Shopping Centre, Heidelberg",3.9,-37.7556346,145.0688058,"56 Burgundy St, Heidelberg VIC 3084, Australia"
Metro West Shopping Centre,4,-37.8009448,144.8984199,"47 Paisley St, Footscray VIC 3011, Australia"
Westfield Doncaster,4.3,-37.7868921,145.125484,"619 Doncaster Rd, Doncaster VIC 3108, Australia"
Bentleigh Shopping Centre,4,-37.9177982,145.034204,"Bentleigh VIC 3204, Australia"
Woodgrove Shopping Centre,4.2,-37.6858394,144.5623604,"Shop MM05/533-555 High St, Melton West VIC 3337, Australia"
Westfield Plenty Valley,4.3,-37.6514214,145.071735,"415 McDonalds Rd, Mill Park VIC 3082, Australia"
Epping North Shopping Centre,4.2,-37.628103,145.027106,"2 Lyndarum Dr, Epping North VIC 3076, Australia"
Westfield Airport West,4.1,-37.7138756,144.8865002,"29/35 Louis St, Airport West VIC 3042, Australia"
Mid Valley Shopping Centre,3.8,-38.23736760000001,146.4297358,"Corner Centre Valley Road &, Princes Dr, Morwell VIC 3840, Australia"
