,property_id,street,suburb,state,postcode,latitude,longitude,price,bedrooms,bathrooms,parking,property_type,carpark_flag,price_rent,coordinate,postcode_property_count
644,14461368,3208/120 a'beckett street,MELBOURNE,VIC,3000,-37.8093071,144.959732,$650/week,2,2,1,Apartment / Unit / Flat,0,650.0,"[-37.8093071, 144.959732]",549
702,16073318,2x09/220 spencer street,MELBOURNE,VIC,3000,-37.82072,144.9554,$480/W Furnished,1,1,0,Apartment / Unit / Flat,0,480.0,"[-37.82072, 144.9554]",549
825,16044913,unit 2707/35 spring street,MELBOURNE,VIC,3000,-37.81417,144.974,"$2,050",3,2,2,Apartment / Unit / Flat,0,2050.0,"[-37.81417, 144.974]",549
951,16042964,2108/11 rose lane,MELBOURNE,VIC,3000,-37.8154449,144.954117,$600.00,2,1,0,Apartment / Unit / Flat,0,600.0,"[-37.8154449, 144.954117]",549
798,15999487,202/560 lonsdale street,MELBOURNE,VIC,3000,-37.81403,144.9556,$650.00,2,2,0,Apartment / Unit / Flat,0,650.0,"[-37.81403, 144.9556]",549
714,16079698,2513/288 spencer street,MELBOURNE,VIC,3000,-37.8137741,144.952087,$455 Per Week,1,1,1,Apartment / Unit / Flat,0,455.0,"[-37.8137741, 144.952087]",549
643,14488107,6207/568 collins street,MELBOURNE,VIC,3000,-37.8183746,144.955429,$450/week,1,1,0,Apartment / Unit / Flat,0,450.0,"[-37.8183746, 144.955429]",549
703,16072828,601/135 a'beckett street,MELBOURNE,VIC,3000,-37.8097878,144.959641,$650 per week,2,2,0,Apartment / Unit / Flat,0,650.0,"[-37.8097878, 144.959641]",549
804,16033660,2605/560 lonsdale street,MELBOURNE,VIC,3000,-37.81403,144.9556,$750.00,2,2,1,Apartment / Unit / Flat,0,750.0,"[-37.81403, 144.9556]",549
906,15956989,1214/22-24 jane bell lane,MELBOURNE,VIC,3000,-37.81022,144.966263,$500 per week,2,1,0,Apartment / Unit / Flat,0,500.0,"[-37.81022, 144.966263]",549
996,16079917,718/112 abeckett street,MELBOURNE,VIC,3000,-37.8092842,144.960052,$450 per week,2,1,0,Apartment / Unit / Flat,0,450.0,"[-37.8092842, 144.960052]",549
1009,15934869,2206/288 spencer street,MELBOURNE,VIC,3000,-37.8137741,144.952087,$440,1,1,0,Apartment / Unit / Flat,0,440.0,"[-37.8137741, 144.952087]",549
693,14571757,148/139 lonsdale street,MELBOURNE,VIC,3000,-37.8107948,144.9683,$350 per week,2,1,0,Apartment / Unit / Flat,0,350.0,"[-37.8107948, 144.9683]",549
817,16023235,2806/36 la trobe street,MELBOURNE,VIC,3000,-37.8081627,144.96759,$550pw -Furnished! Both rooms lockable!,2,1,0,Apartment / Unit / Flat,0,550.0,"[-37.8081627, 144.96759]",549
769,15996004,502/5 sutherland street,MELBOURNE,VIC,3000,-37.8114166,144.960846,$430 per week,1,1,0,Apartment / Unit / Flat,0,430.0,"[-37.8114166, 144.960846]",549
680,16067857,4606a/260 spencer street,MELBOURNE,VIC,3000,-37.8145638,144.952286,$500,1,1,0,Apartment / Unit / Flat,0,500.0,"[-37.8145638, 144.952286]",549
535,9346440,250 elizabeth street,MELBOURNE,VIC,3000,-37.8125648,144.962814,$1050pw Stay 1 mth,1,1,1,Apartment / Unit / Flat,0,1050.0,"[-37.8125648, 144.962814]",549
778,15927340,712/300 swanston street,MELBOURNE,VIC,3000,-37.8106079,144.964584,$450per week,1,1,1,Apartment / Unit / Flat,0,450.0,"[-37.8106079, 144.964584]",549
828,16043351,g08/68 la trobe street,MELBOURNE,VIC,3000,-37.8083649,144.9668,$550 pw,2,1,0,Apartment / Unit / Flat,0,550.0,"[-37.8083649, 144.9668]",549
558,15893587,7108/228 la trobe street,MELBOURNE,VIC,3000,-37.80975,144.962616,$780/W Furnished,2,1,0,Apartment / Unit / Flat,0,780.0,"[-37.80975, 144.962616]",549
985,16074942,1604/565 flinders street,MELBOURNE,VIC,3000,-37.82106,144.9559,$450.00,1,1,0,Apartment / Unit / Flat,0,450.0,"[-37.82106, 144.9559]",549
912,15680157,3803/483 swanston street,MELBOURNE,VIC,3000,-37.80739,144.962082,"$2,000",3,2,0,Apartment / Unit / Flat,0,2000.0,"[-37.80739, 144.962082]",549
