,property_id,street,suburb,state,postcode,latitude,longitude,price,bedrooms,bathrooms,parking,property_type,carpark_flag,price_rent,coordinate,postcode_property_count
640,14819549,1007/27 therry street,MELBOURNE,VIC,3000,-37.8069878,144.961014,$525 per week,2,1,0,Apartment / Unit / Flat,0,525.0,"[-37.8069878, 144.961014]",549
845,16055897,708/243 franklin street,MELBOURNE,VIC,3000,-37.8097649,144.956985,$480 weekly,2,1,0,Apartment / Unit / Flat,0,480.0,"[-37.8097649, 144.956985]",549
596,16024066,603/299 king street,MELBOURNE,VIC,3000,-37.8133,144.954041,Furnished $500/Week,1,1,0,Apartment / Unit / Flat,0,500.0,"[-37.8133, 144.954041]",549
598,15727086,4304/442 elizabeth street,MELBOURNE,VIC,3000,-37.80829,144.960846,$600,2,1,0,Apartment / Unit / Flat,0,600.0,"[-37.80829, 144.960846]",549
641,14810498,8101/228 latrobe street,MELBOURNE,VIC,3000,-37.80977,144.962463,$650,1,1,1,Apartment / Unit / Flat,0,650.0,"[-37.80977, 144.962463]",549
807,16031170,2002/560 lonsdale street,MELBOURNE,VIC,3000,-37.81403,144.9556,$600.00,2,1,0,Apartment / Unit / Flat,0,600.0,"[-37.81403, 144.9556]",549
876,16058570,4407/618 lonsdale street,MELBOURNE,VIC,3000,-37.81425,144.953979,$620.00,2,2,1,Apartment / Unit / Flat,0,620.0,"[-37.81425, 144.953979]",549
650,15786868,3/311 royal pde.,MELBOURNE,VIC,3000,-37.7860947,144.95845,$520,2,1,1,Apartment / Unit / Flat,0,520.0,"[-37.7860947, 144.95845]",549
793,16006887,1110/371 little lonsdale street,MELBOURNE,VIC,3000,-37.81177,144.960938,$650 per week,2,2,0,Apartment / Unit / Flat,0,650.0,"[-37.81177, 144.960938]",549
783,16019481,907/5 sutherland street,MELBOURNE,VIC,3000,-37.8114166,144.960846,$450 per week,1,1,0,Apartment / Unit / Flat,0,450.0,"[-37.8114166, 144.960846]",549
821,9581545,5/181 franklin street,MELBOURNE,VIC,3000,-37.8090973,144.958282,$550.00 per week,2,1,1,Apartment / Unit / Flat,0,550.0,"[-37.8090973, 144.958282]",549
981,16076096,3714/480 elizabeth street,MELBOURNE,VIC,3000,-37.8075066,144.96048,$355,1,1,0,Apartment / Unit / Flat,0,355.0,"[-37.8075066, 144.96048]",549
964,16071522,204/408 lonsdale street,MELBOURNE,VIC,3000,-37.8126,144.9604,$420 per week,1,1,0,Apartment / Unit / Flat,0,420.0,"[-37.8126, 144.9604]",549
1056,16076491,3510/442 elizabeth st,MELBOURNE,VIC,3000,-37.80829,144.960846,$680,2,1,0,Apartment / Unit / Flat,0,680.0,"[-37.80829, 144.960846]",549
1051,16079773,612/408 lonsdale street,MELBOURNE,VIC,3000,-37.8126,144.9604,$350,1,1,0,Apartment / Unit / Flat,0,350.0,"[-37.8126, 144.9604]",549
904,16069386,14/402-408 la trobe street,MELBOURNE,VIC,3000,-37.8111572,144.957718,$550 per week,2,1,1,Apartment / Unit / Flat,0,550.0,"[-37.8111572, 144.957718]",549
1061,16072122,3/27 flinders lane,MELBOURNE,VIC,3000,-37.81473,144.973358,$420 per week,1,1,0,Apartment / Unit / Flat,0,420.0,"[-37.81473, 144.973358]",549
726,15303575,911/199 william street,MELBOURNE,VIC,3000,-37.8145027,144.957611,$575 per week,2,2,0,Apartment / Unit / Flat,0,575.0,"[-37.8145027, 144.957611]",549
1053,16076879,2205/22-24 jane bell lane,MELBOURNE,VIC,3000,-37.81022,144.966263,$550,2,1,0,Apartment / Unit / Flat,0,550.0,"[-37.81022, 144.966263]",549
728,15244946,1010/601 little collins street,MELBOURNE,VIC,3000,-37.8180275,144.95491,$550 per week,2,2,0,Apartment / Unit / Flat,0,550.0,"[-37.8180275, 144.95491]",549
775,15954652,112/318 little bourke street,MELBOURNE,VIC,3000,-37.81293,144.9631,$500,2,1,0,Apartment / Unit / Flat,0,500.0,"[-37.81293, 144.9631]",549
884,16067370,42/140 flinders street,MELBOURNE,VIC,3000,-37.8164,144.970352,$400.00,1,1,0,Apartment / Unit / Flat,0,400.0,"[-37.8164, 144.970352]",549
834,16042168,5008/500 elizabeth street,MELBOURNE,VIC,3000,-37.8072433,144.960281,$420 per week,1,1,0,Apartment / Unit / Flat,0,420.0,"[-37.8072433, 144.960281]",549
826,16043543,1403/225 elizabeth street,MELBOURNE,VIC,3000,-37.8132324,144.962311,$530,2,1,0,Apartment / Unit / Flat,0,530.0,"[-37.8132324, 144.962311]",549
1029,14748133,711/500 flinders street,MELBOURNE,VIC,3000,-37.82002,144.957825,$250,1,1,0,Apartment / Unit / Flat,0,250.0,"[-37.82002, 144.957825]",549
790,16009382,307/243 franklin street,MELBOURNE,VIC,3000,-37.80962,144.956085,$420 weekly,1,1,0,Apartment / Unit / Flat,0,420.0,"[-37.80962, 144.956085]",549
599,15330497,2313/220 spencer street,MELBOURNE,VIC,3000,-37.8157158,144.952957,$675 per week,2,2,1,Apartment / Unit / Flat,0,675.0,"[-37.8157158, 144.952957]",549
814,16023849,2008/483 swanston street,MELBOURNE,VIC,3000,-37.8072166,144.962341,$580 per week pw,2,1,0,Apartment / Unit / Flat,0,580.0,"[-37.8072166, 144.962341]",549
567,14097029,1201/31 a'beckett street,MELBOURNE,VIC,3000,-37.8088875,144.962555,$525 per week,2,1,1,Apartment / Unit / Flat,0,525.0,"[-37.8088875, 144.962555]",549
572,16013889,1503/296 little lonsdale street,MELBOURNE,VIC,3000,-37.81149,144.960617,$680,2,2,0,Apartment / Unit / Flat,0,680.0,"[-37.81149, 144.960617]",549
621,14920692,2209/81 a'beckett street,MELBOURNE,VIC,3000,-37.809227,144.96138,$650,2,1,0,Apartment / Unit / Flat,0,650.0,"[-37.809227, 144.96138]",549
781,15066816,3712/134-160 spencer street,MELBOURNE,VIC,3000,-37.8174171,144.953644,$750 per week,2,2,0,Apartment / Unit / Flat,0,750.0,"[-37.8174171, 144.953644]",549
953,16035190,2102/25 therry street,MELBOURNE,VIC,3000,-37.8069572,144.9611,$480 per week,1,1,0,Apartment / Unit / Flat,0,480.0,"[-37.8069572, 144.9611]",549
670,16011228,110/250 elizabeth street,MELBOURNE,VIC,3000,-37.8125648,144.962814,$1085pw - Stay 1 mth+,1,1,1,Apartment / Unit / Flat,0,1085.0,"[-37.8125648, 144.962814]",549
695,16075930,1501/81 a'beckett street,MELBOURNE,VIC,3000,-37.809227,144.96138,$500 weekly,1,1,0,Apartment / Unit / Flat,0,500.0,"[-37.809227, 144.96138]",549
559,15889467,6802/228 la trobe street,MELBOURNE,VIC,3000,-37.80975,144.962616,$780/W Furnished,2,1,0,Apartment / Unit / Flat,0,780.0,"[-37.80975, 144.962616]",549
1034,16066003,1007/238 flinders st,MELBOURNE,VIC,3000,-37.8175163,144.966492,$320,1,1,0,Apartment / Unit / Flat,0,320.0,"[-37.8175163, 144.966492]",549
605,14408357,801/25-33 wills street,MELBOURNE,VIC,3000,-37.8107758,144.956924,$620 per week - FURNISHED,2,1,1,Apartment / Unit / Flat,0,620.0,"[-37.8107758, 144.956924]",549
867,16060646,4803/228 la trobe street,MELBOURNE,VIC,3000,-37.80975,144.962616,$650,2,1,0,Apartment / Unit / Flat,0,650.0,"[-37.80975, 144.962616]",549
551,14985539,3815/228 la trobe street,MELBOURNE,VIC,3000,-37.80977,144.962463,$880/W Furnished,2,2,0,Apartment / Unit / Flat,0,880.0,"[-37.80977, 144.962463]",549
587,10444606,4303/483 swanstone street,MELBOURNE,VIC,3000,-37.8072166,144.962341,$770,2,1,1,Apartment / Unit / Flat,0,770.0,"[-37.8072166, 144.962341]",549
546,15384018,2509/228 la trobe street,MELBOURNE,VIC,3000,-37.80977,144.962463,$750/W Furnished,2,1,0,Apartment / Unit / Flat,0,750.0,"[-37.80977, 144.962463]",549
786,16013200,909/565 flinders street,MELBOURNE,VIC,3000,-37.82106,144.9559,$550,2,2,1,House,0,550.0,"[-37.82106, 144.9559]",549
802,16033929,4706/500 elizabeth street,MELBOURNE,VIC,3000,-37.8072433,144.960281,$570 per week,2,2,0,Apartment / Unit / Flat,0,570.0,"[-37.8072433, 144.960281]",549
581,15305190,1801/464 collins street,MELBOURNE,VIC,3000,-37.8175621,144.958588,$575 per week,2,1,0,Apartment / Unit / Flat,0,575.0,"[-37.8175621, 144.958588]",549
918,16068459,1412/25 therry street,MELBOURNE,VIC,3000,-37.8069572,144.9611,$450 per week,2,1,0,Apartment / Unit / Flat,0,450.0,"[-37.8069572, 144.9611]",549
713,14045802,3107/568 collins street,MELBOURNE,VIC,3000,-37.8183746,144.955429,$600/week,2,2,0,Apartment / Unit / Flat,0,600.0,"[-37.8183746, 144.955429]",549
645,13900308,3705/462 elizabeth street,MELBOURNE,VIC,3000,-37.8078575,144.960617,$725 per week,2,2,0,Apartment / Unit / Flat,0,725.0,"[-37.8078575, 144.960617]",549
597,16020819,1217/228 a'beckett street,MELBOURNE,VIC,3000,-37.81031,144.95665,$400 per week,1,1,0,Apartment / Unit / Flat,0,400.0,"[-37.81031, 144.95665]",549
573,16007554,812/233 collins street,MELBOURNE,VIC,3000,-37.8160057,144.966171,$450 per week,2,1,0,Apartment / Unit / Flat,0,450.0,"[-37.8160057, 144.966171]",549
875,16058571,2910/118-134 abeckett street,MELBOURNE,VIC,3000,-37.80936,144.959732,$650.00,2,2,1,Apartment / Unit / Flat,0,650.0,"[-37.80936, 144.959732]",549
682,16066116,1602/285 la trobe street,MELBOURNE,VIC,3000,-37.8107338,144.960815,$700/W Furnished,2,1,1,Apartment / Unit / Flat,0,700.0,"[-37.8107338, 144.960815]",549
932,16022459,1605/31 a'beckett street,MELBOURNE,VIC,3000,-37.8088875,144.962555,$550 per week,2,1,0,Apartment / Unit / Flat,0,550.0,"[-37.8088875, 144.962555]",549
872,16058838,3510/500 elizabeth street,MELBOURNE,VIC,3000,-37.8072433,144.960281,$580 per week,2,2,0,Apartment / Unit / Flat,0,580.0,"[-37.8072433, 144.960281]",549
899,14536234,1215/39 lonsdale street,MELBOURNE,VIC,3000,-37.8099251,144.97113,$420/w,2,1,0,Apartment / Unit / Flat,0,420.0,"[-37.8099251, 144.97113]",549
787,16012885,4203/318 rusell street,MELBOURNE,VIC,3000,-37.80917,144.9668,$650 pw,2,1,0,Apartment / Unit / Flat,0,650.0,"[-37.80917, 144.9668]",549
1041,16059629,2807/81 abeckett street,MELBOURNE,VIC,3000,-37.809227,144.96138,$650,2,1,0,Apartment / Unit / Flat,0,650.0,"[-37.809227, 144.96138]",549
658,14657393,1610/157 a'beckett street,MELBOURNE,VIC,3000,-37.8099174,144.959183,$470 per week,1,1,0,Apartment / Unit / Flat,0,470.0,"[-37.8099174, 144.959183]",549
625,14318499,2113/33 mackenzie street,MELBOURNE,VIC,3000,-37.80772,144.966888,$410/week,1,1,0,Apartment / Unit / Flat,0,410.0,"[-37.80772, 144.966888]",549
700,16074976,703/157 abeckett street,MELBOURNE,VIC,3000,-37.8099174,144.959183,$590 Per Week,1,1,0,Apartment / Unit / Flat,0,590.0,"[-37.8099174, 144.959183]",549
998,16079747,3103/200 spencer street,MELBOURNE,VIC,3000,-37.816227,144.953247,$420 Per Week,1,1,1,Apartment / Unit / Flat,0,420.0,"[-37.816227, 144.953247]",549
1052,16078181,1505/250 elizabeth street,MELBOURNE,VIC,3000,-37.8125648,144.962814,$520.00 per week,2,1,0,Apartment / Unit / Flat,0,520.0,"[-37.8125648, 144.962814]",549
853,16049770,4703/560 lonsdale street,MELBOURNE,VIC,3000,-37.81403,144.9556,$500.00,1,1,0,Apartment / Unit / Flat,0,500.0,"[-37.81403, 144.9556]",549
961,16071828,1102/22 coromandel place,MELBOURNE,VIC,3000,-37.813076,144.969238,$400.00,1,1,0,Apartment / Unit / Flat,0,400.0,"[-37.813076, 144.969238]",549
958,16072254,6209/568 collins street,MELBOURNE,VIC,3000,-37.8183746,144.955429,$500 per week,1,1,0,Apartment / Unit / Flat,0,500.0,"[-37.8183746, 144.955429]",549
697,16075429,3407/639 lonsdale street,MELBOURNE,VIC,3000,-37.8150673,144.953415,$450 per week *Fully Furnished*,1,1,0,Apartment / Unit / Flat,0,450.0,"[-37.8150673, 144.953415]",549
617,16044565,902/199 william st,MELBOURNE,VIC,3000,-37.8145027,144.957611,$560 weekly,2,1,0,Apartment / Unit / Flat,0,560.0,"[-37.8145027, 144.957611]",549
881,16068002,300/668 bourke street,MELBOURNE,VIC,3000,-37.8166161,144.954285,$550.00,2,2,1,Apartment / Unit / Flat,0,550.0,"[-37.8166161, 144.954285]",549
986,16074083,808/181 abeckett street,MELBOURNE,VIC,3000,-37.8101578,144.958191,$400.00,1,1,0,Apartment / Unit / Flat,0,400.0,"[-37.8101578, 144.958191]",549
1026,15437445,394 collins street,MELBOURNE,VIC,3000,-37.81682,144.961182,$550,1,1,0,Apartment / Unit / Flat,0,550.0,"[-37.81682, 144.961182]",549
947,16053719,2402/11 rose lane,MELBOURNE,VIC,3000,-37.8154449,144.954117,$550 per week,2,1,1,Apartment / Unit / Flat,0,550.0,"[-37.8154449, 144.954117]",549
908,15922398,1408/483 swanston street,MELBOURNE,VIC,3000,-37.8072166,144.962341,$520 per week,2,1,0,Apartment / Unit / Flat,0,520.0,"[-37.8072166, 144.962341]",549
593,16031797,260 spencer st,MELBOURNE,VIC,3000,-37.8145638,144.952286,$700,2,2,0,Apartment / Unit / Flat,0,700.0,"[-37.8145638, 144.952286]",549
594,16031496,3202/33 rose lane,MELBOURNE,VIC,3000,-37.8150139,144.953873,$650 per week *Fully Furnished*,2,1,1,Apartment / Unit / Flat,0,650.0,"[-37.8150139, 144.953873]",549
776,15950533,1119/268 flinders street,MELBOURNE,VIC,3000,-37.8178139,144.965576,$320 Per Week,1,1,0,Apartment / Unit / Flat,0,320.0,"[-37.8178139, 144.965576]",549
589,16043741,4707/135 a'beckett street,MELBOURNE,VIC,3000,-37.8097878,144.959641,$480 per week,1,1,0,Apartment / Unit / Flat,0,480.0,"[-37.8097878, 144.959641]",549
710,15336418,5803/568 collins street,MELBOURNE,VIC,3000,-37.8183746,144.955429,$650 per week,2,2,1,Apartment / Unit / Flat,0,650.0,"[-37.8183746, 144.955429]",549
954,16034843,4808/639 little lonsdale street,MELBOURNE,VIC,3000,-37.8141937,144.952164,$700,2,2,1,Apartment / Unit / Flat,0,700.0,"[-37.8141937, 144.952164]",549
716,16079295,1610/442 elizabeth street,MELBOURNE,VIC,3000,-37.80829,144.960846,$600 per week *Fully Furnished*,2,1,0,Apartment / Unit / Flat,0,600.0,"[-37.80829, 144.960846]",549
1005,16078342,102/263 franklin street,MELBOURNE,VIC,3000,-37.80955,144.956619,$480 weekly,1,1,0,Apartment / Unit / Flat,0,480.0,"[-37.80955, 144.956619]",549
931,16023082,1903/462 elizabeth st,MELBOURNE,VIC,3000,-37.8078575,144.960617,$460,1,1,0,Apartment / Unit / Flat,0,460.0,"[-37.8078575, 144.960617]",549
920,16065443,1206/639 little lonsdale street,MELBOURNE,VIC,3000,-37.8141937,144.952164,$550 per week,1,1,0,Apartment / Unit / Flat,0,550.0,"[-37.8141937, 144.952164]",549
831,16042639,1105/22 jane bell lane,MELBOURNE,VIC,3000,-37.81022,144.966263,$600.00,2,1,1,Apartment / Unit / Flat,0,600.0,"[-37.81022, 144.966263]",549
1007,15959951,908/19 exploration lane,MELBOURNE,VIC,3000,-37.8089333,144.9681,$400 per week,1,1,0,Studio,0,400.0,"[-37.8089333, 144.9681]",549
818,16020450,2610/265 exhibition street,MELBOURNE,VIC,3000,-37.809597,144.969223,"$1,000.00 per week",3,2,2,Apartment / Unit / Flat,0,1000.0,"[-37.809597, 144.969223]",549
701,16074907,2103/442 elizabeth street,MELBOURNE,VIC,3000,-37.80829,144.960846,$480 per week,1,1,0,Apartment / Unit / Flat,0,480.0,"[-37.80829, 144.960846]",549
741,14104667,1302a/565 flinders st,MELBOURNE,VIC,3000,-37.8210373,144.955811,$430,1,1,0,Apartment / Unit / Flat,0,430.0,"[-37.8210373, 144.955811]",549
1057,16076141,2004/288 spencer street,MELBOURNE,VIC,3000,-37.8137741,144.952087,$360 Per Week,1,1,0,Apartment / Unit / Flat,0,360.0,"[-37.8137741, 144.952087]",549
777,15935277,l34/452 elizabeth st,MELBOURNE,VIC,3000,-37.8079,144.96051,$680 per week,2,1,0,Apartment / Unit / Flat,0,680.0,"[-37.8079, 144.96051]",549
577,15986220,elizabeth street,MELBOURNE,VIC,3000,-37.80902,144.960846,$580,2,1,0,Apartment / Unit / Flat,0,580.0,"[-37.80902, 144.960846]",549
538,15758588,4409/228 la trobe street,MELBOURNE,VIC,3000,-37.80975,144.962616,$750/W Furnished,2,1,0,Apartment / Unit / Flat,0,750.0,"[-37.80975, 144.962616]",549
667,16038086,2402/80 a'beckett street,MELBOURNE,VIC,3000,-37.809,144.961075,$500 per week,2,1,0,Apartment / Unit / Flat,0,500.0,"[-37.809, 144.961075]",549
1031,14122926,4804/568 collins street,MELBOURNE,VIC,3000,-37.8183746,144.955429,$580 per weekly - Unfurnished,2,2,1,Apartment / Unit / Flat,0,580.0,"[-37.8183746, 144.955429]",549
970,16067441,924/555 flinders street,MELBOURNE,VIC,3000,-37.8209724,144.956482,$480.00,1,1,0,Apartment / Unit / Flat,0,480.0,"[-37.8209724, 144.956482]",549
860,9714767,1003/270 king street,MELBOURNE,VIC,3000,-37.81375,144.955032,$560.00 per week,2,2,1,Apartment / Unit / Flat,0,560.0,"[-37.81375, 144.955032]",549
553,14896286,1602/228 la trobe street,MELBOURNE,VIC,3000,-37.80975,144.962616,$700/W Unfurnished,2,1,0,Apartment / Unit / Flat,0,700.0,"[-37.80975, 144.962616]",549
756,15920687,8092y/33 rose lane,MELBOURNE,VIC,3000,-37.8150139,144.953873,$60 per week,1,1,1,Apartment / Unit / Flat,0,60.0,"[-37.8150139, 144.953873]",549
1002,16078846,812/9-23 mackenzie street,MELBOURNE,VIC,3000,-37.8076019,144.967468,$700 weekly,2,1,0,Apartment / Unit / Flat,0,700.0,"[-37.8076019, 144.967468]",549
631,16065739,1605b/639 little lonsdale street,MELBOURNE,VIC,3000,-37.8141937,144.952164,$580,1,1,0,Apartment / Unit / Flat,0,580.0,"[-37.8141937, 144.952164]",549
1069,15831027,2201/288 spencer street,MELBOURNE,VIC,3000,-37.8137741,144.952087,$400,1,1,0,Apartment / Unit / Flat,0,400.0,"[-37.8137741, 144.952087]",549
843,16056668,4809/398 elizabeth street,MELBOURNE,VIC,3000,-37.80933,144.961319,$450.00,1,1,0,Apartment / Unit / Flat,0,450.0,"[-37.80933, 144.961319]",549
692,14965185,4509/60 a’beckett st,MELBOURNE,VIC,3000,-37.80874,144.961441,$580 per week,1,1,0,Apartment / Unit / Flat,0,580.0,"[-37.80874, 144.961441]",549
590,16043568,3803/80 a'beckett street,MELBOURNE,VIC,3000,-37.809,144.961075,$620,2,1,1,Apartment / Unit / Flat,0,620.0,"[-37.809, 144.961075]",549
1062,16071806,102/9 bligh place,MELBOURNE,VIC,3000,-37.817318,144.963715,$600,2,1,1,Apartment / Unit / Flat,0,600.0,"[-37.817318, 144.963715]",549
868,16060221,402/243 franklin street,MELBOURNE,VIC,3000,-37.80962,144.956085,$345 weekly,1,1,0,Apartment / Unit / Flat,0,345.0,"[-37.80962, 144.956085]",549
746,13547939,9-23 mackenzie street,MELBOURNE,VIC,3000,-37.8075447,144.967331,$650 per week,2,2,0,Apartment / Unit / Flat,0,650.0,"[-37.8075447, 144.967331]",549
1024,15963215,1012/339 swanston st,MELBOURNE,VIC,3000,-37.8103828,144.9638,$370,2,1,0,Apartment / Unit / Flat,0,370.0,"[-37.8103828, 144.9638]",549
887,16065416,1306/618 lonsdale street,MELBOURNE,VIC,3000,-37.81425,144.953979,$515 per week,2,1,0,Apartment / Unit / Flat,0,515.0,"[-37.81425, 144.953979]",549
965,16069867,1109/601 little collins street,MELBOURNE,VIC,3000,-37.81793,144.954834,$370 per week,1,1,0,Apartment / Unit / Flat,0,370.0,"[-37.81793, 144.954834]",549
894,16061514,828/139 lonsdale street,MELBOURNE,VIC,3000,-37.8107948,144.9683,$450 per week,2,1,0,Apartment / Unit / Flat,0,450.0,"[-37.8107948, 144.9683]",549
923,16053700,206/118 franklin street,MELBOURNE,VIC,3000,-37.8082047,144.958908,$350 per week,1,1,0,Apartment / Unit / Flat,0,350.0,"[-37.8082047, 144.958908]",549
864,16061152,2804/181 abeckett street,MELBOURNE,VIC,3000,-37.8101578,144.958191,$370.00,1,1,0,Studio,0,370.0,"[-37.8101578, 144.958191]",549
668,16026707,1601/442 elizabeth street,MELBOURNE,VIC,3000,-37.80829,144.960846,$520 per week,2,1,0,Apartment / Unit / Flat,0,520.0,"[-37.80829, 144.960846]",549
759,15679996,33/140 flinders street,MELBOURNE,VIC,3000,-37.8164,144.970352,$430,1,1,0,Apartment / Unit / Flat,0,430.0,"[-37.8164, 144.970352]",549
789,16010186,1711/620 collins street,MELBOURNE,VIC,3000,-37.81866,144.954346,$540 Per Week,2,1,1,Apartment / Unit / Flat,0,540.0,"[-37.81866, 144.954346]",549
547,15368211,3817/228 la trobe street,MELBOURNE,VIC,3000,-37.80977,144.962463,$900/W Unfurnished,2,2,0,Apartment / Unit / Flat,0,900.0,"[-37.80977, 144.962463]",549
905,15985608,901/36 la trobe,MELBOURNE,VIC,3000,-37.8081627,144.96759,$430.00,1,1,0,Apartment / Unit / Flat,0,430.0,"[-37.8081627, 144.96759]",549
803,16033891,2802b/639 little lonsdale street,MELBOURNE,VIC,3000,-37.8141937,144.952164,$680 per week,2,1,1,Apartment / Unit / Flat,0,680.0,"[-37.8141937, 144.952164]",549
660,14460001,514/199 william street,MELBOURNE,VIC,3000,-37.81456,144.957413,$600,2,1,0,Apartment / Unit / Flat,0,600.0,"[-37.81456, 144.957413]",549
1014,16063938,211b/399 bourke street,MELBOURNE,VIC,3000,-37.8147278,144.962128,$350,1,1,0,Apartment / Unit / Flat,0,350.0,"[-37.8147278, 144.962128]",549
816,16023509,603/8 exploration lane,MELBOURNE,VIC,3000,-37.8091125,144.96846,$530 per week,2,2,0,Apartment / Unit / Flat,0,530.0,"[-37.8091125, 144.96846]",549
524,15208025,4212/228 la trobe street,MELBOURNE,VIC,3000,-37.80977,144.962463,$650 Furnished,1,1,0,Apartment / Unit / Flat,0,650.0,"[-37.80977, 144.962463]",549
950,16047754,204/445 elizabeth street,MELBOURNE,VIC,3000,-37.8086853,144.960281,$220 pw,1,1,0,Studio,0,220.0,"[-37.8086853, 144.960281]",549
880,14064860,503/368 little collins street,MELBOURNE,VIC,3000,-37.81528,144.962265,$450 per week,1,1,1,Apartment / Unit / Flat,0,450.0,"[-37.81528, 144.962265]",549
753,15922074,l45/228 la trobe st,MELBOURNE,VIC,3000,-37.80975,144.962616,$620 per week,1,1,0,Apartment / Unit / Flat,0,620.0,"[-37.80975, 144.962616]",549
946,16055962,1204/333 exhibition st,MELBOURNE,VIC,3000,-37.8078957,144.968582,$480,1,1,0,Apartment / Unit / Flat,0,480.0,"[-37.8078957, 144.968582]",549
976,16077210,3704/318 russell street,MELBOURNE,VIC,3000,-37.80917,144.9668,$620 per week,2,1,0,Apartment / Unit / Flat,0,620.0,"[-37.80917, 144.9668]",549
637,15337093,5403/135 a'beckett street,MELBOURNE,VIC,3000,-37.8097878,144.959641,$600 per week,2,1,1,Apartment / Unit / Flat,0,600.0,"[-37.8097878, 144.959641]",549
557,15899740,3603/36 la trobe street,MELBOURNE,VIC,3000,-37.8081627,144.96759,$520/week,2,1,0,Apartment / Unit / Flat,0,520.0,"[-37.8081627, 144.96759]",549
