name,rating,lat,lng,formatted_address
Victorian Transport Company,5,-37.8116071,144.8434379,"69 Bunting Rd, Brooklyn VIC 3012, Australia"
VT Freight Express,3.9,-38.0258186,145.221622,"1/14 Monterey Rd, Dandenong South VIC 3175, Australia"
VCF Transport Services,4.6,-38.0307099,145.2070653,"38 Mickle St, Dandenong South VIC 3175, Australia"
Department of Transport,2.7,-37.8150428,144.9742959,"1 Spring St, Melbourne VIC 3000, Australia"
East West Express,4.4,-38.03201809999999,145.2033533,"Unit 2/7 Superior Dr, Dandenong South VIC 3175, Australia"
DSE TRANSPORT VIC,4.4,-37.6568286,144.9699962,"57 Metrolink Cct, Campbellfield VIC 3061, Australia"
Empire Transport,4.6,-38.0097198,145.1116333,"7 Helen Kob Dr, Braeside VIC 3195, Australia"
Condo's Horse Transport,3.8,-38.1398535,145.2910347,"45a Craig Rd, Cranbourne VIC 3977, Australia"
Victorian Transport Association,3.5,-37.837857,144.906254,"Mirrat House, Level 1/46 Kooringa Wy, Port Melbourne VIC 3207, Australia"
Yellow Express,4.5,-38.013873,145.267903,"4/2-6 Apollo Dr, Hallam VIC 3803, Australia"
Freight People,4.9,-38.0065578,145.2002512,"11-15 Smeaton Ave, Dandenong South VIC 3175, Australia"
Swift Transport Services,3.6,-38.0321652,145.2302403,"3/155 Abbotts Rd, Dandenong South VIC 3175, Australia"
G C Horse Transport,3,-38.1242009,145.2652701,"1 Cyril Beechey Ln, Cranbourne VIC 3977, Australia"
State Transport,4.2,-37.9457335,145.0824191,"18 Fairchild St, Heatherton VIC 3202, Australia"
Cartage Australia,1,-38.1438402,145.3031873,"35 Devon Rd, Devon Meadows VIC 3977, Australia"
Cranbourne Transit,3.2,-38.104048,145.285693,"24 Arundel St, Cranbourne VIC 3977, Australia"
Vicstate Transport P/L,4,-38.2234186,146.4240811,"22 Williams St, Morwell VIC 3840, Australia"
Boatrans Pty Ltd,5,-38.1036926,145.3322721,"17-23 Hardys Rd, Clyde North VIC 3978, Australia"
Vic Freight Xpress,4.6,-37.6670723,144.9703717,"16 Merri Concourse, Campbellfield VIC 3061, Australia"
Renegade Vehicle Transport,0,-38.105361,145.286577,"2/8 Smethurst St, Cranbourne VIC 3977, Australia"
Cold Xpress Refrigerated Transport,4,-37.92697649999999,145.2196829,"830 Wellington Rd, Rowville VIC 3178, Australia"
Sakra Transport,5,-38.1206699,145.322904,"No.31 Pasadena Blvd, Clyde VIC 3978, Australia"
AFX logistics pty ltd,5,-38.09179640000001,145.2477743,"18 Camino cres, Cranbourne West VIC 3977, Australia"
Transco Cargo Dandenong,3.8,-38.0560765,145.2149915,"206-208 Discovery Rd, Dandenong South VIC 3175, Australia"
Victorian Crane Hire (VCH),4.5,-38.0382652,145.2146759,"35 Colemans Rd, Dandenong South VIC 3175, Australia"
BenVic Freight,5,-36.7425029,144.3171955,"36 Rohs Rd, East Bendigo VIC 3550, Australia"
BCC Transport,0,-38.0912306,145.2522018,"48 Paramount Blvd, Cranbourne West VIC 3977, Australia"
Localtransit.com.au,5,-37.8537659,144.9971787,"71 Earl St E, Windsor VIC 3181, Australia"
MV Transporters,0,-37.7641918,144.9599288,"Vic Little Ln, Brunswick VIC 3074, Australia"
BENIWAL TRANSPORT &LOGISTICS. PTY. LTD,0,-38.1188884,145.33507,"34 Sloane Dr, Clyde North VIC 3978, Australia"
Eastcoast Furniture Transport,5,-38.116437,145.28728,"1457 S Gippsland Hwy, Cranbourne VIC 3977, Australia"
Lyall Street / Cranbourne Park SC Bus Interchange,3.5,-38.1094982,145.2838968,"Cranbourne VIC 3977, Australia"
Allen Reeves Alternative Horse Transport,3.8,-38.0594271,145.3159628,"4 Sycamore Ct, Narre Warren South VIC 3805, Australia"
Harkml transport pty Ltd,0,-38.0956331,145.2817208,"263 S Gippsland Hwy, Cranbourne VIC 3977, Australia"
Truck Parking,4.6,-38.0799727,145.2537668,"1030 Thompsons Rd, Cranbourne West VIC 3977, Australia"
Kane Transport Pty. Ltd.,4.2,-37.52695,143.8001289,"5 Liberator Drive, Mitchell Park VIC 3355, Australia"
Box 'n' Carry,0,-38.1241342,145.3178784,"18 Athletic Cct, Clyde VIC 3978, Australia"
Easy Taxi Melbourne,5,-38.1229033,145.2998783,"37 Quattro Ave, Cranbourne East VIC 3977, Australia"
Vic Heavy Haulage,0,-37.8176735,144.7810802,"92 William Angliss Dr, Laverton North VIC 3026, Australia"
Bill Francis BD,0,-38.0641146,145.305622,"26 Littlecroft Ave, Narre Warren South VIC 3805, Australia"
Direct Freight Express,2.2,-37.645668,144.9589385,"53-63 Cooper St, Campbellfield VIC 3061, Australia"
Regional Freight Express,3.5,-36.7474344,144.3072023,"100 Strickland Rd, East Bendigo VIC 3550, Australia"
Victoria Road,0,-38.195498,145.2365394,"Pearcedale VIC 3912, Australia"
Pro Melbourne taxi,0,-38.1229764,145.3531341,"8 Amazon Ave, Clyde VIC 3978, Australia"
Transport Safety Victoria,5,-37.8151648,144.9743793,"1 Spring St, Melbourne VIC 3000, Australia"
Consolidated Freight Devon Meadows Depot,4,-38.19470099999999,145.2832301,"198 Craig Rd, Devon Meadows VIC 3977, Australia"
Melbourne Chauffeurs Hire,5,-38.1114813,145.3318685,"168 Heather Grove, Clyde North VIC 3978, Australia"
Southern Cross,4.1,-37.81839,144.9525,"Spencer St, Docklands VIC 3008, Australia"
Tasmanian Freight Services,5,-37.8065669,144.9234561,"542 Footscray Rd, West Melbourne VIC 3003, Australia"
TASMANIAN FREIGHT SERVICES PTY LTD,0,-37.8257265,144.7967457,"Corner of Pipe &, Hume Rd, Laverton North VIC 3026, Australia"
ali coskun,0,-38.1180331,145.2970251,"6 Pettigrew St, Cranbourne East VIC 3977, Australia"
M.B. & L.K. Walford Transport,0,-38.129627,145.2390489,"690 Cranbourne-Frankston Rd, Cranbourne South VIC 3977, Australia"
Black Corporate chauffeur cars,0,-38.0936667,145.2474056,"139 Central Pkwy, Cranbourne West VIC 3977, Australia"
Sutton Transport,0,-37.8376887,145.2993902,"16 Prospect Pl, Boronia VIC 3155, Australia"
Ghuman group pty Ltd,0,-38.1225908,145.3403742,"Freshman Ave, Clyde VIC 3978, Australia"
VICSUPPORT,5,-38.028122,145.2696398,"139 Pound Rd, Hampton Park VIC 3976, Australia"
Flaming Fast Freight,5,-38.0932168,145.2697419,"10 Valma Ave, Cranbourne VIC 3977, Australia"
PANDIR,0,-38.1115449,145.3015765,"21 Reynard Pl, Cranbourne East VIC 3977, Australia"
LINK COLD STORAGE AND TRANSPORTATION,5,-36.3714255,146.2969182,"22 Murrell St, Wangaratta VIC 3677, Australia"
G&G Pilots,5,-38.09264150000001,145.2744199,"58 Clairmont Ave, Cranbourne VIC 3977, Australia"
