property_id,street,suburb,state,postcode,latitude,longitude,price,bedrooms,bathrooms,parking,property_type,is_rural,land_size,land_unit,is_retirement,url,price_int,nearest_station
16059629,2807/81 Abeckett Street,MELBOURNE,VIC,3000,-37.809227,144.96138,$680,2,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/2807-81-abeckett-street-melbourne-vic-3000-16059629,680.0,"[144.96138, -37.809227]"
16061056,1313/268 Flinders Street,MELBOURNE,VIC,3000,-37.8178139,144.965576,$350 per week,2,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/1313-268-flinders-street-melbourne-vic-3000-16061056,350.0,"[144.965576, -37.8178139]"
16062428,1411/120 A Beckett St,MELBOURNE,VIC,3000,-37.8093071,144.959732,$680,2,2,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/1411-120-a-beckett-st-melbourne-vic-3000-16062428,680.0,"[144.959732, -37.8093071]"
11719913,1003/29 Market Street,MELBOURNE,VIC,3000,-37.8186836,144.960419,$800 per week,2,2,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/1003-29-market-street-melbourne-vic-3000-11719913,800.0,"[144.960419, -37.8186836]"
13459693,3203/35 Spring Street,MELBOURNE,VIC,3000,-37.81417,144.974,$1100 per week,2,2,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/3203-35-spring-street-melbourne-vic-3000-13459693,110.0,"[144.974, -37.81417]"
14122926,4804/568 Collins Street,MELBOURNE,VIC,3000,-37.8183746,144.955429,$580 per weekly - Unfurnished,2,2,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/4804-568-collins-street-melbourne-vic-3000-14122926,580.0,"[144.955429, -37.8183746]"
15226362,2.01/15 Collins Street,MELBOURNE,VIC,3000,-37.813736,144.973328,$695pw,2,2,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/2-01-15-collins-street-melbourne-vic-3000-15226362,695.0,"[144.973328, -37.813736]"
15316411,1609/398 Elizabeth Street,MELBOURNE,VIC,3000,-37.80933,144.961319,$600 p.w.,2,1,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/1609-398-elizabeth-street-melbourne-vic-3000-15316411,600.0,"[144.961319, -37.80933]"
15437445,394 Collins Street,MELBOURNE,VIC,3000,-37.81682,144.961182,$550,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/394-collins-street-melbourne-vic-3000-15437445,550.0,"[144.961182, -37.81682]"
15939303,4203/35 Spring Street,MELBOURNE,VIC,3000,-37.81417,144.974,$4500 Per Week,3,2,4,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/4203-35-spring-street-melbourne-vic-3000-15939303,450.0,"[144.974, -37.81417]"
15943719,208/268 Flinders St,MELBOURNE,VIC,3000,-37.8178139,144.965576,$235,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/208-268-flinders-st-melbourne-vic-3000-15943719,235.0,"[144.965576, -37.8178139]"
15951316,251/350 St Kilda Road,MELBOURNE,VIC,3000,-37.8311424,144.970856,$2800 Per Week,3,3,3,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/251-350-st-kilda-road-melbourne-vic-3000-15951316,280.0,"[144.970856, -37.8311424]"
