name,rating,lat,lng,formatted_address
Vic's Bar,4,-37.8143003,144.9670981,"215 Little Collins St Mezzanine Level Enter via The Victoria Hotel Lobby, 215 Little Collins St, Melbourne VIC 3000, Australia"
The Vic Bar,4.4,-37.8097638,144.9939338,"281 Victoria St, Abbotsford VIC 3067, Australia"
Lui Bar,4.4,-37.8188934,144.9576721,"525 Collins St, Melbourne VIC 3000, Australia"
⭐ Brix Bar and Dining,4.8,-37.8977491,145.0049125,"162 Martin St, Brighton VIC 3186, Australia"
Two Hands Rooftop Bar & Beer Garden Eatery,4.4,-37.80978959999999,144.9951254,"311A Victoria St, Abbotsford VIC 3067, Australia"
Vesbar,4.5,-38.2248117,145.1750337,"3/80 Station St, Somerville VIC 3912, Australia"
Bombabar,4.4,-37.8104041,144.9691967,"103 Lonsdale St, Melbourne VIC 3000, Australia"
Valhalla,4.8,-37.8180765,144.9583657,"Basement/477 Collins St, Melbourne VIC 3000, Australia"
Victoria Inn,4.1,-37.8566667,144.8975,"65/67 Douglas Parade, Williamstown VIC 3016, Australia"
Whitehart Bar,4.4,-37.8128928,144.9618629,"22 Whitehart Ln, Melbourne VIC 3000, Australia"
Bar Margaux,4.4,-37.8105145,144.9691429,"Basement/111 Lonsdale St, Melbourne VIC 3000, Australia"
Velvet Bar,3.9,-37.82322920000001,144.9589295,"8 Whiteman St, Southbank VIC 3006, Australia"
Murmur Piano Bar,4.6,-37.8138403,144.9618753,"17 Warburton Ln, Melbourne VIC 3000, Australia"
Union Electric Bar & Rooftop Gin Garden,4.6,-37.8117775,144.966679,"13 Heffernan Ln, Melbourne VIC 3000, Australia"
Riverland Bar,4.3,-37.8187053,144.9687623,"Federation Wharf Vaults 1-9, Melbourne VIC 3000, Australia"
Victoria Bar,2,-37.805941,144.9579798,"250 Victoria St, North Melbourne VIC 3051, Australia"
Bar Liberty,4.7,-37.7989644,144.9828092,"234 Johnston St, Fitzroy VIC 3065, Australia"
Maeve Fox,4.5,-37.8266882,144.9976113,"472 Church St, Cremorne VIC 3121, Australia"
Trinket Bar Melbourne,4.4,-37.8152624,144.9713399,"87 Flinders Ln, Melbourne VIC 3000, Australia"
Bar Bambi,3.6,-37.8156205,144.9710207,"enter via, Basement 103-105 Flinders Lane, AC/DC La, Melbourne VIC 3000, Australia"
FeeFee's Bar,4.7,-37.7995027,144.9885052,"113 Johnston St, Collingwood VIC 3066, Australia"
The Vincent,4.3,-37.8449997,144.950744,"111 Victoria Ave, Albert Park VIC 3206, Australia"
Bellota Wine Bar,4.6,-37.83409109999999,144.9617167,"181 Bank St, South Melbourne VIC 3205, Australia"
Waterslide Bar,4.6,-37.819998,144.966873,"MR3, Southgate Ave, Southbank VIC 3006, Australia"
Rooftop Bar,4.4,-37.8119942,144.9652513,"Curtin House, level 7/252 Swanston St, Melbourne VIC 3000, Australia"
Dikstein's Corner Bar,4.3,-37.816313,144.960337,"433 Little Collins St, Melbourne VIC 3000, Australia"
StoryVille,4.2,-37.811172,144.966828,"185 Lonsdale St, Melbourne VIC 3000, Australia"
Fargo and Co,4.2,-37.8256902,144.9967883,"216 Swan St, Richmond VIC 3121, Australia"
Vale Hotel,4,-37.930618,145.1545818,"2277 Dandenong Rd, Mulgrave VIC 3170, Australia"
Bouvier Bar,4.8,-37.7731828,144.9711413,"159 Lygon St, Brunswick East VIC 3057, Australia"
Dive Bar,4.8,-37.8226238,144.9553935,"L2/1-5 Spencer Street Crowne Plaza Melbourne, VIC 3008, Australia"
Mountain View Hotel,3.9,-37.8738732,145.1674825,"186 Springvale Rd, Glen Waverley VIC 3150, Australia"
The Bottom End,4.2,-37.817828,144.955601,"579 Little Collins St, Melbourne VIC 3000, Australia"
Left Bank Melbourne Restaurant & Cocktail Bar,4.1,-37.8210084,144.9628614,"1 Southbank Blvd, Southbank VIC 3006, Australia"
Melbourne Public,4.2,-37.8244444,144.9511111,"11 Dukes Walk, South Wharf VIC 3006, Australia"
Bar Lourinhã,4.4,-37.812815,144.9725185,"37 Little Collins St, Melbourne VIC 3000, Australia"
European Bier Cafe,4.1,-37.8128691,144.9711969,"120 Exhibition St, Melbourne VIC 3000, Australia"
Spleen Bar,4.3,-37.8118183,144.9719707,"41 Bourke St, Melbourne VIC 3000, Australia"
Bayswater Hotel,3.9,-37.84111619999999,145.2692281,"780 Mountain Hwy, Bayswater VIC 3153, Australia"
Young and Jacksons,4.2,-37.8173408,144.9671631,"1 Swanston St, Melbourne VIC 3000, Australia"
Victoria's Secret Bar & Cafe,4.4,-37.8083861,144.9743192,"80 Victoria Parade, East Melbourne VIC 3002, Australia"
Wesley Anne,4.4,-37.7729157,144.9984287,"250 High St, Northcote VIC 3070, Australia"
Fable Melbourne,4.3,-37.8105608,144.9674084,"13/168 Lonsdale St, Melbourne VIC 3000, Australia"
Campari House,4.1,-37.8140372,144.961377,"23-25 Hardware Ln, Melbourne VIC 3000, Australia"
The Collection Bar,4.5,-37.8191333,145.0022139,"328 Bridge Rd, Richmond VIC 3121, Australia"
Arbory Bar & Eatery,4.3,-37.8191298,144.9662274,"1 Flinders Walk, Melbourne VIC 3000, Australia"
Loop Roof & Loop Top,4.3,-37.81217609999999,144.9721901,"3/23 Meyers Pl, Melbourne VIC 3000, Australia"
Cha Cha's Bar,4.3,-38.024387,145.3116229,"40 Verdun Dr, Narre Warren VIC 3805, Australia"
Good Heavens Rooftop Bar,4.2,-37.8120759,144.9711426,"level 2/79 Bourke St, Melbourne VIC 3000, Australia"
