name,rating,lat,lng,formatted_address
Victoria Police Centre,1.7,-37.8139832,144.9511534,"313 Spencer St, Docklands VIC 3008, Australia"
Southbank Police Station,2.4,-37.8283415,144.9610533,"66-76 Moray St, Southbank VIC 3006, Australia"
Richmond Police Station,3.3,-37.8173748,144.9997234,"217 Church St, Richmond VIC 3121, Australia"
Preston Police Station,2.7,-37.7392493,145.0058238,"Roseberry Ave, Preston VIC 3072, Australia"
Hastings Police Station,3.2,-38.3078948,145.1847713,"137 High St, Hastings VIC 3915, Australia"
Northcote Police Station,3.1,-37.7660511,145.0021488,"48 Dennis St, Northcote VIC 3070, Australia"
Cranbourne Police Station,2.2,-38.1133246,145.2831288,"168 Sladen St, Cranbourne VIC 3977, Australia"
Victoria Police Fingerprint Facility,3.8,-37.8140613,144.9512085,"311 Spencer St, Docklands VIC 3008, Australia"
Williamstown Police Station,3.4,-37.86349939999999,144.9062786,"100 Nelson Pl, Williamstown VIC 3016, Australia"
Melbourne North Police Station,2.6,-37.8001735,144.9546367,"36 Wreckyn St, North Melbourne VIC 3051, Australia"
Narre Warren Police Station,2.4,-38.025847,145.31114,"8 Coventry Rd, Narre Warren VIC 3805, Australia"
Clayton Police Station,2.8,-37.9201592,145.1204471,"263 Clayton Rd, Clayton VIC 3168, Australia"
Collingwood Police Station,4.4,-37.8039496,144.9933994,"1 Eddy Ct, Abbotsford VIC 3067, Australia"
Springvale Police Station,2.3,-37.9553339,145.1514835,"314 Springvale Rd, Springvale VIC 3171, Australia"
Brunswick Police Station,3,-37.7628053,144.9629852,"630 Sydney Rd, Brunswick VIC 3056, Australia"
Victoria Police,3.7,-38.111123,147.0606119,"1-11 Reeve St, Sale VIC 3850, Australia"
Ringwood Police Station,2.4,-37.8130005,145.2271339,"31 Ringwood St, Ringwood VIC 3134, Australia"
Moorabbin Police Station,3.1,-37.9368451,145.037851,"1011-1013 Nepean Hwy, Moorabbin VIC 3189, Australia"
Frankston Police Station,3.4,-38.1389091,145.1246742,"15 Fletcher Rd, Frankston VIC 3199, Australia"
Footscray Police Station,2.9,-37.8039338,144.9013966,"66 Hyde St, Footscray VIC 3011, Australia"
Oakleigh Police Station.,2.9,-37.8980069,145.0879759,"Oakleigh Police Complex, 1 Atherton Street, Oakleigh VIC 3166, Australia"
Mornington Police Station,3.4,-38.2163865,145.0367387,"8 Main St, Mornington VIC 3931, Australia"
Werribee Police Station,2.4,-37.894088,144.6813188,"134 Princes Hwy, Werribee VIC 3030, Australia"
South Melbourne Police Station.,3.2,-37.8348763,144.9595692,"211 Bank St, South Melbourne VIC 3205, Australia"
Melbourne West Police Station,2.9,-37.8139094,144.9514926,"313 Spencer St, Docklands VIC 3008, Australia"
Victoria Police Academy,4.7,-37.8930634,145.1755064,"1 View Mount Rd, Glen Waverley VIC 3150, Australia"
Melbourne East Police Station,2.7,-37.81261629999999,144.9671638,"202 Bourke St, Melbourne VIC 3000, Australia"
Pakenham Police Station,2.9,-38.0619613,145.452508,"780 Princes Hwy, Pakenham VIC 3810, Australia"
Camberwell Police Station,4,-37.8333139,145.0592039,"317 Camberwell Rd, Camberwell VIC 3124, Australia"
Police Registration & Services Board,0,-37.814853,144.9603031,"6/155 Queen St, Melbourne VIC 3000, Australia"
Flemington Police Station,3.2,-37.7851533,144.9320365,"30 Wellington St, Flemington VIC 3031, Australia"
Emerald Police Station,4.7,-37.9304726,145.444227,"386/390 Belgrave-Gembrook Rd, Emerald VIC 3782, Australia"
Sunshine Police Station,2,-37.7777103,144.8309602,"497 Ballarat Rd, Sunshine VIC 3020, Australia"
Glen Waverley Police Station,3.4,-37.90351709999999,145.1641339,"643 Ferntree Gully Rd, Glen Waverley VIC 3150, Australia"
Carrum Downs Police Station,2.7,-38.1149186,145.1731344,"42 Ballarto Rd, Frankston North VIC 3200, Australia"
Rosebud Police Station,3.8,-38.3697631,144.8896108,"95 Boneo Rd, Rosebud VIC 3939, Australia"
Heidelberg Police Station,3.5,-37.7575576,145.0708664,"7 Jika St, Heidelberg VIC 3084, Australia"
