,rank,School,Location,MedianVCE Score,VCE40+%
542,543,Armstrong Creek School,Armstrong Creek,0,0
543,544,Balmoral Community College,Balmoral,0,0
544,545,Bendigo South East Secondary College,Bendigo,0,0
545,546,Bendigo TAFE,Bendigo,0,0
546,547,Berry Street Victoria,Richmond,0,0
547,548,Box Hill Institute,Box Hill,0,0
548,549,Catholic Regional College Caroline Springs,Caroline Springs,0,0
549,550,Charles La Trobe P-12 College The Pavilion,Preston,0,0
550,551,Cire Community School,Yarra Junction,0,0
551,552,Croydon Community School,Croydon,0,0
552,553,Crusoe 7-10 Secondary College,Kangaroo Flat,0,0
553,554,David Scott School Frankston,Frankston,0,0
554,555,Diamond Valley Learning Centre,Greensborough,0,0
555,556,Djerriwarrh Community College,Melton,0,0
556,557,Education Centre Gippsland,Warragul,0,0
557,558,Federation University Australia SMB Campus,Ballarat,0,0
558,559,Foundation Learning Centre,Narre Warren,0,0
559,560,Glenroy Neighbourhood Centre,Glenroy,0,0
560,561,Goroke P-12 College,Goroke,0,0
561,562,Goulburn Ovens Institute of TAFE,Shepparton,0,0
562,563,Hester Hornbrook Academy,Melbourne,0,0
563,564,Holmesglen Institute of TAFE Moorabbin,Moorabbin,0,0
564,565,Kangan Institute of TAFE,Broadmeadows,0,0
565,566,Kensington Community High School,Kensington,0,0
566,567,Lavers Hill K-12 College,Lavers Hill,0,0
567,568,Lynall Hall Community School,Richmond,0,0
568,569,Manangatang P-12 College,Manangatang,0,0
569,570,Melbourne Montessori School Senior Campus,Brighton East,0,0
570,571,Melbourne Polytechnic,Preston,0,0
571,572,Merinda Park Learning Centre,Cranbourne North,0,0
572,573,Mountain District Learning Centre,Ferntree Gully,0,0
573,574,Oakwood School,Caulfield North,0,0
574,575,Parkville College,Parkville,0,0
575,576,Peter Lalor Secondary College,Lalor,0,0
576,577,Pines Learning,Doncaster East,0,0
577,578,Prahran Community Learning Centre,Prahran,0,0
578,579,Preston Reservoir Adult Community Education,Reservoir,0,0
579,580,River Nile School,North Melbourne,0,0
580,581,SEDA College,Hawthorn East,0,0
581,582,Shepparton Adult and Community Education,Shepparton,0,0
582,583,South West Institute of TAFE,Warrnambool,0,0
583,584,Sunraysia Institute of TAFE,Mildura,0,0
584,585,The Lakes South Morang College,South Morang,0,0
585,586,William Angliss Institute of TAFE,Melbourne,0,0
586,587,Wodonga Institute of TAFE,West Wodonga,0,0
587,588,Wyndham Community and Education Centre,Werribee,0,0
588,589,Youth2industry College,South Melbourne,0,0
589,590,Yuille Park Community College,Delacombe,0,0
590,591,Armenian Aginian School Surrey Hills,Surrey Hills, , 
591,592,Austurk Saturday Turkish School,Gladstone Park, , 
592,593,Bharathi Academy Dandenong,Dandenong, , 
593,594,Cheryl Kaloger Brown School of Dance,Hawthorn East, , 
594,595,Chinese Culture School,Mont Albert, , 
595,596,Chinese Culture School Melbourne High Campus,South Yarra, , 
596,597,Chinese Culture School Northcote Campus,Northcote, , 
597,598,Eastern Chinese Language School,Doncaster East, , 
598,599,Firbank Grammar Qidong Qidi Foreign Language School,"Qidong, China", , 
599,600,Firbank Grammar School Chongqing New Epoch School,"Sichuan, China", , 
600,601,Firbank Grammar School Harbin American-Canadian Foreign Language School,"Heilongjiang, China", , 
601,602,Firbank Grammar School Jiangyan No 2 High School,"Taizhou, China", , 
602,603,Firbank Grammar School Lianyungang Foreign Language School,"Lianyungang, China", , 
603,604,Firbank Grammar School Shanghai Tianhua College High School,"Shanghai, China", , 
604,605,Firbank Grammar School Suzhou International Foreign Language School,"Suzhou, China", , 
605,606,Greek Orthodox Community of Melbourne and Victoria,Melbourne, , 
606,607,Haileybury Albert Einstein School,"Ho Chi Minh City, Vietnam", , 
607,608,Haileybury College Tianjin Campus,"Tianjin, China", , 
608,609,Haileybury Dili International School,"Dili, Timor-Leste", , 
609,610,Haileybury Ningbo Li Hui Li High School,"Ningbo, China", , 
610,611,Haileybury Wuhan Foreign Language School,"Wuhan, China", , 
611,612,Hispanoamerican School of Springvale,Noble Park, , 
612,613,Independent Dance Studios,Hallam, , 
613,614,Iranian Cultural School,Doncaster East, , 
614,615,Korean Language School of Melbourne,Prahran, , 
615,616,Kurnai College University Campus,Churchill, , 
616,617,Meisha Academy Guangzhou,"Guangzhou, China", , 
617,618,Melbourne International School of Japanese,Oakleigh South, , 
618,619,Melbourne Swedish Community School Association,Toorak, , 
619,620,Mount Martha School of Dance,Mount Martha, , 
620,621,Nestoras College Doncaster,Doncaster, , 
621,622,New Chinese Language and Culture School Thornbury,Thornbury, , 
622,623,Omiros College Pascoe Vale South,Pascoe Vale South, , 
623,624,Peninsula Grammar Heze No 1 Middle School,"Shandong, China", , 
624,625,Peninsula Grammar Nanjing Experimental School,"Nanjing, China", , 
625,626,Peninsula Grammar Pudong Foreign Language School,"Shanghai, China", , 
626,627,Peninsula Grammar Taixing No 1 Senior High School,"Taixing, China", , 
627,628,Peninsula Grammar Zhengzhou Foreign Language School,"Zhengzhou, China", , 
628,629,Peninsula International School Australia Malaysia Campus,"Selangor, Malaysia", , 
629,630,Pythagoras Greek School,Brighton, , 
630,631,Serbian Ethnic School Vuk Karadzic,St Albans, , 
631,632,Sholem Aleichem College,Elsternwick, , 
632,633,Springvale Indo-Chinese Ethnic School Inc.,Springvale South, , 
633,634,Stonnington School of Dance,Murrumbeena, , 
634,635,The Pushkin Lyceum Russian Community School,Elwood, , 
635,636,Thomas Carr College Hailiang Foreign Language School,"Zhejiang, China", , 
636,637,Thomas Carr College Wenzhou No 21 Middle School,"Wenzhou, China", , 
637,638,Victorian Tamil Association,Glen Waverley, , 
638,639,Victorian Virtual Learning Network,Bendigo, , 
639,640,VSL Altona North-Footscray-Sunshine-Ballarat,Thornbury, , 
640,641,VSL Box Hill-Blackburn-Doncaster,Thornbury, , 
641,642,VSL Creekside-Melton,Thornbury, , 
642,643,VSL Croydon-Shepparton-Bendigo-Warrnambool,Thornbury, , 
643,644,VSL Dandenong-Hampton Park-Berwick,Thornbury, , 
644,645,VSL Distance Education,Thornbury, , 
645,646,VSL Glen Waverley-Carwatha-Mildura,Thornbury, , 
646,647,VSL Keilor Downs-Craigieburn-Taylors Lakes,Thornbury, , 
647,648,VSL North Geelong-Matthew Flinders-Werribee-Point Cook,Thornbury, , 
648,649,VSL Thomastown-Lalor-Roxburgh Park-Epping,Thornbury, , 
649,650,VSL Traralgon-Brentwood-Haileybury-Mentone,Thornbury, , 
650,651,VSL University-Brunswick-Collingwood,Thornbury, , 
651,652,VSL Westall-South Oakleigh-McKinnon,Thornbury, , 
652,653,Western Chinese Language School Braybrook,Braybrook, , 
653,654,Xin Jin Shan Chinese Language and Culture School,Mount Waverley, , 
