,Rank,Suburb,Value
0,1,Canterbury,$2352
1,2,Park Orchards,$2329
2,3,Wonga Park,$2221
3,4,Brighton,$2200
4,5,Camberwell,$2122
5,6,Albert Park,$2103
6,6,Middle Park,$2103
7,7,North Warrandyte,$2074
8,7,Warrandyte,$2074
9,8,Kooyong,$2047
10,8,Malvern,$2047
11,9,Kew,$2022
12,10,Port Melbourne,$1997
13,11,East Melbourne,$1989
14,12,Toorak,$1977
15,13,Glen Iris,$1965
16,14,Mont Albert,$1961
17,14,Surrey Hills,$1961
18,15,Narre Warren East,$1956
19,15,Narre Warren North,$1956
20,16,Eltham,$1923
21,16,Eltham North,$1923
22,16,Research,$1923
23,17,Diamond Creek,$1860
24,18,Beaumaris,$1845
25,18,Black Rock,$1845
26,19,Southbank,$1838
27,20,Sandringham,$1836
28,21,Hawthorn East,$1833
29,22,Kew East,$1807
30,23,Abbotsford,$1797
31,23,Brighton East,$1797
32,24,Templestowe,$1789
33,25,Balwyn North,$1787
34,26,Clifton Hill,$1782
35,26,Fitzroy North,$1782
36,27,Carlton North,$1740
37,27,Princes Hill,$1740
38,28,Caulfield North,$1735
39,29,Burnley,$1731
40,29,Cremorne,$1731
41,29,Richmond,$1731
42,30,Greenvale,$1730
43,31,Elwood,$1715
44,32,Armadale,$1713
45,33,Ivanhoe,$1709
46,33,Ivanhoe East,$1709
47,34,Rowville,$1699
48,34,Williamstown,$1699
49,34,Williamstown North,$1699
50,35,Mount Eliza,$1695
51,36,South Yarra,$1694
52,37,Bullengarook,$1679
53,37,Gisborne,$1679
54,37,Gisborne South,$1679
55,38,South Melbourne,$1670
56,39,Caulfield East,$1663
57,39,Malvern East,$1663
58,40,Hampton,$1653
59,40,Hampton East,$1653
60,41,Riddells Creek,$1637
61,42,Essendon North,$1634
62,42,Strathmore,$1634
63,42,Strathmore Heights,$1634
64,43,Hawthorn,$1627
65,44,Newport,$1626
66,44,South Kingsville,$1626
67,44,Spotswood,$1626
68,45,Donvale,$1614
69,46,Moonee Ponds,$1611
70,47,Arthurs Creek,$1589
71,47,Cottles Bridge,$1589
72,47,Hurstbridge,$1589
73,47,Nutfield,$1589
74,47,Strathewen,$1589
75,48,Lower Plenty,$1584
76,49,Yarraville,$1583
77,50,South Morang,$1576
78,51,Aberfeldie,$1571
79,51,Essendon,$1571
80,51,Essendon West,$1571
81,52,Berwick,$1566
82,52,Harkaway,$1566
83,53,Balwyn,$1563
84,53,Northcote,$1563
85,54,Prahran,$1560
86,54,Prahran East,$1560
87,54,Windsor,$1560
88,55,Eaglemont,$1551
89,55,Heidelberg,$1551
90,55,Rosanna,$1551
91,55,Viewbank,$1551
92,56,Caulfield,$1547
93,56,Caulfield South,$1547
94,57,Keilor,$1541
95,58,Alphington,$1538
96,58,Bentleigh,$1538
97,58,Fairfield,$1538
98,58,McKinnon,$1538
99,58,Ormond,$1538
100,59,Upwey,$1537
101,60,Briar Hill,$1524
102,60,Greensborough,$1524
103,60,St Helena,$1524
104,61,Ascot Vale,$1512
105,61,Maribyrnong,$1512
106,61,Travancore,$1512
107,62,Keilor Downs,$1505
108,62,Keilor Lodge,$1505
109,62,Taylors Lakes,$1505
110,63,Elsternwick,$1497
111,63,Gardenvale,$1497
112,63,Ripponlea,$1497
113,64,Aspendale,$1492
114,64,Aspendale Gardens,$1492
115,64,Mordialloc,$1492
116,64,Parkdale,$1492
117,64,Waterways,$1492
118,65,Delahey,$1491
119,65,Hillside,$1491
120,65,Sydenham,$1491
121,65,Taylors Hill,$1491
122,66,St Kilda,$1488
123,66,St Kilda West,$1488
124,67,Scoresby,$1486
125,68,Fitzroy,$1483
126,69,Parkville,$1480
127,70,Derrimut,$1470
128,70,Point Cook,$1470
129,70,Sanctuary Lakes,$1470
130,70,Werribee,$1470
131,70,Werribee South,$1470
132,71,Ashwood,$1469
133,72,Brunswick East,$1468
134,73,Wantirna,$1463
135,73,Wantirna South,$1463
136,74,Vermont,$1459
137,74,Vermont South,$1459
138,75,MacLeod,$1458
139,75,Yallambie,$1458
140,76,Montmorency,$1457
141,77,The Basin,$1455
142,78,Belgrave,$1452
143,78,Belgrave Heights,$1452
144,78,Belgrave South,$1452
145,78,Tecoma,$1452
146,79,Balaclava,$1449
147,79,St Kilda East,$1449
148,80,Newham,$1446
