,rank,School name,Search Volume,Keyword Searched,School Type,Location,Postcode,State,My School URL
0,1,Presbyterian Ladies' College,2300,presbyterian ladies college,Independent,Burwood,3125,VIC,https://www.myschool.edu.au/school/46162
1,2,Serpell Primary School,1000,serpell primary school,Government,Templestowe,3106,VIC,https://www.myschool.edu.au/school/45059
2,3,Haileybury College,1800,haileybury college,Independent,Keysborough,3173,VIC,https://www.myschool.edu.au/school/46189
3,4,Huntingtower School,2000,huntingtower school,Independent,Mount Waverley,3149,VIC,https://www.myschool.edu.au/school/46201
4,5,Beverley Hills Primary School,1000,beverley hills primary school,Government,Doncaster East,3109,VIC,https://www.myschool.edu.au/school/44855
5,6,Camberwell Girls Grammar School,1100,camberwell girls grammar school,Independent,Canterbury,3126,VIC,https://www.myschool.edu.au/school/46204
6,7,St Andrews Christian College,900,st andrews christian college,Independent,Wantirna South,3152,VIC,https://www.myschool.edu.au/school/46293
7,8,Ballarat Clarendon College,1200,ballarat clarendon college,Independent,Ballarat,3350,VIC,https://www.myschool.edu.au/school/46146
8,9,Oakleigh South Primary School,2200,oakleigh south primary school,Government,Oakleigh South,3167,VIC,https://www.myschool.edu.au/school/44861
9,10,Glendal Primary School,900,glendal primary school,Government,Glen Waverley,3150,VIC,https://www.myschool.edu.au/school/44968
10,11,St Christopher's School,40,st christopher's school,Catholic,Glen Waverley,3150,VIC,https://www.myschool.edu.au/school/45942
11,12,Scotch College,8800,scotch college,Independent,Hawthorn,3122,VIC,https://www.myschool.edu.au/school/46172
12,13,Pinewood Primary School,800,pinewood primary school,Government,Mount Waverley,3149,VIC,https://www.myschool.edu.au/school/44882
13,14,Camberwell Grammar School,1500,camberwell grammar school,Independent,Canterbury,3126,VIC,https://www.myschool.edu.au/school/46199
14,15,Balwyn Primary School,1300,balwyn primary school,Government,Balwyn,3103,VIC,https://www.myschool.edu.au/school/44181
15,16,St Kevin's College,4300,st kevins college,Catholic,Toorak,3142,VIC,https://www.myschool.edu.au/school/45848
16,17,Canterbury Primary School,600,canterbury primary school,Government,Canterbury,3126,VIC,https://www.myschool.edu.au/school/44620
17,18,Waverley Christian College,2800,waverley christian college,Independent,Wantirna South,3152,VIC,https://www.myschool.edu.au/school/46246
18,19,Good Shepherd Lutheran Primary School,150,good shepherd lutheran primary school,Independent,Croydon Hills,3136,VIC,https://www.myschool.edu.au/school/46253
19,20,Fintona Girls' School,1200,fintona girls school,Independent,Balwyn,3103,VIC,https://www.myschool.edu.au/school/46149
20,21,Birralee Primary School,500,birralee primary school,Government,Doncaster,3108,VIC,https://www.myschool.edu.au/school/44955
21,22,Korowa Anglican Girls' School,200,korowa anglican girls school,Independent,Glen Iris,3146,VIC,https://www.myschool.edu.au/school/46136
22,23,Christ Church Grammar School,2000,christ church grammar school,Independent,South Yarra,3141,VIC,https://www.myschool.edu.au/school/46148
23,24,Penleigh & Essendon Grammar School,60,penleigh & essendon grammar school,Independent,Keilor East,3033,VIC,https://www.myschool.edu.au/school/46180
24,25,Doncaster Gardens Primary School,900,doncaster gardens primary school,Government,Doncaster East,3109,VIC,https://www.myschool.edu.au/school/45240
25,26,Fitzroy Community School,400,fitzroy community school,Independent,Fitzroy North,3068,VIC,https://www.myschool.edu.au/school/46265
26,27,Trinity Grammar School Kew,350,trinity grammar school kew,Independent,Kew,3101,VIC,https://www.myschool.edu.au/school/46156
27,28,Lighthouse Christian College Cranbourne,300,lighthouse christian college cranbourne,Independent,Cranbourne,3977,VIC,https://www.myschool.edu.au/school/46387
28,29,St Catherine's School,500,st catherine's school,Independent,Toorak,3142,VIC,https://www.myschool.edu.au/school/46178
29,30,Mount View Primary School,900,mount view primary school,Government,Glen Waverley,3150,VIC,https://www.myschool.edu.au/school/44912
30,31,St Joan of Arc School,90,st joan of arc school,Catholic,Brighton,3186,VIC,https://www.myschool.edu.au/school/45795
31,32,Spensley Street Primary School,450,spensley street primary school,Government,Clifton Hill,3068,VIC,https://www.myschool.edu.au/school/44566
32,33,Brighton Grammar School,700,brighton grammar school,Independent,Brighton,3186,VIC,https://www.myschool.edu.au/school/46200
33,34,Preston West Primary School,800,preston west primary school,Government,Preston,3072,VIC,https://www.myschool.edu.au/school/44662
34,35,Donburn Primary School,350,donburn primary school,Government,Doncaster East,3109,VIC,https://www.myschool.edu.au/school/44972
35,36,Westbourne Grammar School,700,westbourne grammar school,Independent,Truganina,3029,VIC,https://www.myschool.edu.au/school/46249
36,37,Brandon Park Primary School,600,brandon park primary school,Government,Wheelers Hill,3150,VIC,https://www.myschool.edu.au/school/44983
37,38,Camberwell Primary School,700,camberwell primary school,Government,Camberwell,3124,VIC,https://www.myschool.edu.au/school/44164
38,39,Burwood East Primary School,1000,burwood east primary school,Government,Burwood East,3151,VIC,https://www.myschool.edu.au/school/44090
39,40,Mont Albert Primary School,1000,mont albert primary school,Government,Mont Albert,3127,VIC,https://www.myschool.edu.au/school/44681
40,41,Loreto Mandeville Hall,700,loreto mandeville hall,Catholic,Toorak,3142,VIC,https://www.myschool.edu.au/school/45810
41,42,Camelot Rise Primary School,500,camelot rise primary school,Government,Glen Waverley,3150,VIC,https://www.myschool.edu.au/school/45023
42,43,Tintern Grammar,2600,tintern grammar,Independent,Ringwood East,3135,VIC,https://www.myschool.edu.au/school/46175
43,44,Firbank Grammar School,450,firbank grammar school,Independent,Brighton,3186,VIC,https://www.myschool.edu.au/school/46164
44,45,Wheelers Hill Primary School,700,wheelers hill primary school,Government,Wheelers Hill,3150,VIC,https://www.myschool.edu.au/school/45014
45,46,Ivanhoe Girls' Grammar School,100,ivanhoe girls grammar school,Independent,Ivanhoe,3079,VIC,https://www.myschool.edu.au/school/46185
46,47,Laburnum Primary School,1700,laburnum primary school,Government,Blackburn,3130,VIC,https://www.myschool.edu.au/school/44877
47,48,St Leonard's College,2200,st leonards college,Independent,Brighton East,3187,VIC,https://www.myschool.edu.au/school/46173
48,49,Strathcona Baptist Girls' Grammar,40,strathcona baptist girls grammar,Independent,Canterbury,3126,VIC,https://www.myschool.edu.au/school/46192
49,50,Hampton Primary School,450,hampton primary school,Government,Hampton,3188,VIC,https://www.myschool.edu.au/school/44651
50,51,St Leonard's School,150,st leonards school,Catholic,Glen Waverley,3150,VIC,https://www.myschool.edu.au/school/45940
51,52,Malvern Primary School,400,malvern primary school,Government,Malvern East,3145,VIC,https://www.myschool.edu.au/school/44483
52,53,Templeton Primary School,1700,templeton primary school,Government,Wantirna,3152,VIC,https://www.myschool.edu.au/school/45078
53,54,Carey Baptist Grammar School,3200,carey baptist grammar school,Independent,Kew,3101,VIC,https://www.myschool.edu.au/school/46186
54,55,North Melbourne Primary School,600,north melbourne primary school,Government,North Melbourne,3051,VIC,https://www.myschool.edu.au/school/44270
55,56,Xavier College,5900,xavier college,Catholic,Kew,3101,VIC,https://www.myschool.edu.au/school/45696
56,57,Caulfield Grammar School,1800,caulfield grammar school,Independent,St Kilda East,3183,VIC,https://www.myschool.edu.au/school/46139
57,58,Deutsche Schule Melbourne,250,deutsche schule melbourne,Independent,Fitzroy North,3068,VIC,https://www.myschool.edu.au/school/40823
